Date,Open,High,Low,Close,Adj Close,Volume
1996-12-01,10.906250,11.250000,8.562500,8.859375,4.960146,40249600
1997-01-01,8.875000,9.906250,8.843750,9.281250,5.196348,61364000
1997-02-01,9.343750,9.375000,8.468750,9.187500,5.143857,40200400
1997-03-01,9.187500,9.875000,9.093750,9.468750,5.319475,44170000
1997-04-01,9.468750,9.937500,8.968750,9.812500,5.512593,41552400
1997-05-01,9.843750,12.031250,9.812500,12.000000,6.741517,77487600
1997-06-01,11.937500,12.500000,11.687500,12.265625,6.908873,45355600
1997-07-01,12.250000,14.906250,11.968750,14.171875,7.982611,81746400
1997-08-01,14.125000,15.625000,13.218750,14.625000,8.237844,97073200
1997-09-01,14.750000,17.046875,14.687500,15.937500,8.998649,61030800
1997-10-01,15.937500,16.187500,13.093750,15.312500,8.645765,91277600
1997-11-01,15.437500,16.437500,14.218750,14.750000,8.328161,52060000
1997-12-01,14.781250,15.906250,13.625000,15.093750,8.542673,55168000
1998-01-01,14.968750,15.187500,10.714844,12.718750,7.198482,173952000
1998-02-01,12.875000,14.750000,12.562500,14.335938,8.113768,83874800
1998-03-01,14.531250,16.468750,14.343750,15.953125,9.050924,82030400
1998-04-01,15.906250,16.781250,14.500000,16.359375,9.281411,86410400
1998-05-01,16.359375,18.875000,15.937500,18.015625,10.221071,60207600
1998-06-01,18.000000,19.500000,16.906250,19.312500,10.978430,65088400
1998-07-01,19.500000,20.187500,15.062500,15.609375,8.873340,48313400
1998-08-01,15.625000,19.750000,14.062500,14.968750,8.509167,77706400
1998-09-01,15.187500,15.750000,11.000000,12.375000,7.050807,89686400
1998-10-01,12.000000,14.812500,11.562500,13.656250,7.780815,48234200
1998-11-01,13.875000,19.562500,13.531250,18.625000,10.611820,49839400
1998-12-01,18.562500,18.875000,15.781250,17.343750,9.903332,40350000
1999-01-01,17.468750,22.062500,16.500000,20.812500,11.884001,51559600
1999-02-01,20.937500,22.156250,19.093750,20.125000,11.491435,47870400
1999-03-01,20.156250,21.687500,18.375000,20.437500,11.692307,56648200
1999-04-01,20.500000,22.406250,17.312500,17.593750,10.065396,54076000
1999-05-01,17.562500,18.875000,15.250000,17.750000,10.154788,61835200
1999-06-01,18.000000,18.500000,16.218750,16.750000,9.605887,31085200
1999-07-01,16.750000,19.687500,15.187500,15.718750,9.014483,25886600
1999-08-01,15.750000,16.562500,13.500000,14.156250,8.118410,20556800
1999-09-01,14.093750,14.281250,13.125000,13.500000,7.761696,26918400
1999-10-01,13.500000,15.250000,11.562500,12.468750,7.168788,24032200
1999-11-01,12.468750,14.000000,10.843750,13.906250,7.995266,43497400
1999-12-01,13.781250,13.937500,11.781250,13.156250,7.587237,21823000
2000-01-01,13.093750,13.187500,10.656250,11.000000,6.343726,18067800
2000-02-01,10.968750,12.125000,9.125000,10.656250,6.145481,30758800
2000-03-01,10.656250,15.125000,10.437500,14.750000,8.540516,29391000
2000-04-01,14.968750,17.250000,13.750000,13.906250,8.051971,28180600
2000-05-01,13.906250,15.000000,11.656250,12.562500,7.273915,21670800
2000-06-01,12.500000,13.156250,11.062500,12.062500,7.010697,20840000
2000-07-01,12.000000,12.687500,8.281250,8.750000,5.085479,28614800
2000-08-01,8.937500,9.750000,8.625000,9.000000,5.230780,24432200
2000-09-01,8.375000,9.625000,7.312500,7.781250,4.543969,23669200
2000-10-01,7.750000,8.531250,7.062500,8.218750,4.799453,23646800
2000-11-01,8.093750,9.562500,7.750000,8.031250,4.689957,23265800
2000-12-01,8.125000,9.687500,7.437500,9.093750,5.339547,18702800
2001-01-01,9.093750,10.500000,8.562500,10.195000,5.986162,18362600
2001-02-01,10.195000,10.585000,8.995000,9.225000,5.416610,23860800
2001-03-01,9.230000,9.230000,7.800000,8.140000,4.802403,25098800
2001-04-01,8.260000,9.225000,7.885000,9.195000,5.424830,18903400
2001-05-01,9.145000,9.595000,8.855000,9.265000,5.466126,18134200
2001-06-01,9.250000,9.410000,8.775000,9.275000,5.498706,11813200
2001-07-01,9.280000,11.375000,8.500000,11.250000,6.669590,23556000
2001-08-01,11.200000,11.485000,9.500000,10.025000,5.943345,20045400
2001-09-01,10.025000,10.500000,6.900000,7.225000,4.302768,23451000
2001-10-01,7.230000,8.375000,6.960000,7.050000,4.198550,26612000
2001-11-01,7.250000,10.700000,7.125000,9.465000,5.636774,30147400
2001-12-01,9.465000,10.350000,9.075000,10.115000,6.051095,18043400
2002-01-01,10.040000,12.750000,9.825000,12.650000,7.567604,34921000
2002-02-01,12.500000,13.125000,11.220000,12.730000,7.615464,32984000
2002-03-01,12.735000,13.145000,11.900000,12.250000,7.354412,19571400
2002-04-01,12.255000,12.620000,11.075000,11.730000,7.042226,20672600
2002-05-01,11.750000,13.435000,11.225000,12.310000,7.390434,19618400
2002-06-01,12.275000,12.615000,10.760000,11.325000,6.824097,18001800
2002-07-01,11.200000,11.500000,8.290000,9.450000,5.694280,30085400
2002-08-01,9.350000,10.750000,8.230000,9.665000,5.823833,31884400
2002-09-01,9.540000,10.965000,8.750000,8.970000,5.433391,24961800
2002-10-01,8.970000,10.600000,7.530000,9.960000,6.033062,42775600
2002-11-01,9.960000,11.195000,9.100000,10.000000,6.057290,45638800
2002-12-01,10.325000,10.675000,9.000000,9.485000,5.774343,29457400
2003-01-01,9.575000,9.810000,8.935000,9.020000,5.491257,25412200
2003-02-01,9.040000,9.300000,8.030000,8.505000,5.177732,23915000
2003-03-01,8.505000,9.305000,7.500000,8.100000,4.960352,32436400
2003-04-01,8.100000,8.760000,7.920000,8.665000,5.306350,27511400
2003-05-01,8.615000,9.475000,7.890000,9.325000,5.710527,60244000
2003-06-01,9.375000,9.940000,9.300000,9.760000,6.010513,24049800
